2018-05-13:20:30,05/13/2018,20:30:00,17.97,7.1,6.52,69,crbuoy
2018-05-13:20:45,05/13/2018,20:45:00,17.96,7.1,6.44,68.15,crbuoy
2018-05-13:21:00,05/13/2018,21:00:00,17.95,7.11,6.53,69.11,crbuoy
2018-05-13:21:15,05/13/2018,21:15:00,17.94,7.1,6.52,68.96,crbuoy
2018-05-13:21:30,05/13/2018,21:30:00,17.91,7.11,6.53,68.98,crbuoy
2018-05-13:21:45,05/13/2018,21:45:00,17.91,7.1,6.55,69.18,crbuoy
2018-05-13:22:00,05/13/2018,22:00:00,17.9,7.11,6.55,69.24,crbuoy
2018-05-13:22:15,05/13/2018,22:15:00,17.88,7.1,6.41,67.75,crbuoy
2018-05-13:22:30,05/13/2018,22:30:00,17.85,7.11,6.55,69.13,crbuoy
2018-05-13:22:45,05/13/2018,22:45:00,17.84,7.11,6.58,69.46,crbuoy
2018-05-13:23:00,05/13/2018,23:00:00,17.84,7.1,6.52,68.77,crbuoy
2018-05-13:23:15,05/13/2018,23:15:00,17.83,7.11,6.55,69.07,crbuoy
2018-05-13:23:30,05/13/2018,23:30:00,17.82,7.1,6.54,68.95,crbuoy
2018-05-13:23:45,05/13/2018,23:45:00,17.8,7.1,6.5,68.54,crbuoy
2018-05-14:00:00,05/14/2018,00:00:00,17.79,7.1,6.46,68.14,crbuoy
2018-05-14:00:15,05/14/2018,00:15:00,17.79,7.09,6.48,68.34,crbuoy
2018-05-14:00:30,05/14/2018,00:30:00,17.78,7.1,6.49,68.42,crbuoy
2018-05-14:00:45,05/14/2018,00:45:00,17.77,7.11,6.52,68.7,crbuoy
2018-05-14:01:00,05/14/2018,01:00:00,17.75,7.11,6.5,68.5,crbuoy
2018-05-14:01:15,05/14/2018,01:15:00,17.74,7.11,6.51,68.55,crbuoy
2018-05-14:01:30,05/14/2018,01:30:00,17.74,7.1,6.5,68.51,crbuoy
2018-05-14:01:45,05/14/2018,01:45:00,17.71,7.11,6.5,68.44,crbuoy
2018-05-14:02:00,05/14/2018,02:00:00,17.74,7.1,6.46,67.99,crbuoy
2018-05-14:02:15,05/14/2018,02:15:00,17.72,7.1,6.48,68.22,crbuoy
2018-05-14:02:30,05/14/2018,02:30:00,17.71,7.1,6.46,67.95,crbuoy
2018-05-14:02:45,05/14/2018,02:45:00,17.71,7.1,6.51,68.5,crbuoy
2018-05-14:03:00,05/14/2018,03:00:00,17.69,7.12,6.61,69.57,crbuoy
