"FECHA_HORA",FECHA,HORA,WATERQ_Temp,WATERQ_pH,WATERQ_OD,WATERQ_OD_pc,DATASET
2019-05-11:03:00,05/11/2019,03:00:00,15.61,7.14,8.91,89.67,crbuoy
2019-05-11:03:15,05/11/2019,03:15:00,15.6,7.13,8.9,89.54,crbuoy
2019-05-11:03:30,05/11/2019,03:30:00,15.6,7.12,8.89,89.43,crbuoy
2019-05-11:03:45,05/11/2019,03:45:00,15.59,7.11,8.88,89.31,crbuoy
2019-05-11:04:00,05/11/2019,04:00:00,15.6,7.11,8.87,89.23,crbuoy
2019-05-11:04:15,05/11/2019,04:15:00,15.59,7.11,8.86,89.1,crbuoy
2019-05-11:04:30,05/11/2019,04:30:00,15.58,7.11,8.85,89.03,crbuoy
2019-05-11:04:45,05/11/2019,04:45:00,15.58,7.11,8.84,88.88,crbuoy
2019-05-11:05:00,05/11/2019,05:00:00,15.57,7.1,8.81,88.59,crbuoy
2019-05-11:05:15,05/11/2019,05:15:00,15.56,7.09,8.8,88.5,crbuoy
2019-05-11:05:30,05/11/2019,05:30:00,15.56,7.08,8.8,88.48,crbuoy
2019-05-11:05:45,05/11/2019,05:45:00,,,crbuoy
2019-05-11:06:00,05/11/2019,06:00:00,15.55,7.1,8.8,88.48,crbuoy
2019-05-11:06:15,05/11/2019,06:15:00,15.53,7.09,8.78,88.24,crbuoy
2019-05-11:06:30,05/11/2019,06:30:00,15.53,7.1,8.79,88.25,crbuoy
2019-05-11:06:45,05/11/2019,06:45:00,15.53,7.08,8.76,87.98,crbuoy
2019-05-11:07:00,05/11/2019,07:00:00,15.51,7.09,8.78,88.18,crbuoy
2019-05-11:07:15,05/11/2019,07:15:00,15.52,7.07,8.73,87.7,crbuoy
2019-05-11:07:30,05/11/2019,07:30:00,15.5,7.08,8.76,87.93,crbuoy
2019-05-11:07:45,05/11/2019,07:45:00,15.49,7.09,8.74,87.74,crbuoy
2019-05-11:08:00,05/11/2019,08:00:00,15.48,7.08,8.75,87.85,crbuoy
2019-05-11:08:15,05/11/2019,08:15:00,15.48,7.08,8.74,87.69,crbuoy
2019-05-11:08:30,05/11/2019,08:30:00,15.49,7.08,8.75,87.84,crbuoy
2019-05-11:08:45,05/11/2019,08:45:00,15.52,7.09,8.85,88.91,crbuoy
2019-05-11:09:00,05/11/2019,09:00:00,15.56,7.08,8.87,89.17,crbuoy
2019-05-11:09:15,05/11/2019,09:15:00,15.59,7.07,8.91,89.65,crbuoy
2019-05-11:09:30,05/11/2019,09:30:00,15.67,7.1,8.97,90.35,crbuoy
2019-05-11:09:45,05/11/2019,09:45:00,15.67,7.08,8.98,90.52,crbuoy
2019-05-11:10:00,05/11/2019,10:00:00,15.7,7.09,9.01,90.8,crbuoy
2019-05-11:10:15,05/11/2019,10:15:00,15.73,7.07,9,90.8,crbuoy
2019-05-11:10:30,05/11/2019,10:30:00,15.81,7.11,9.03,91.22,crbuoy
2019-05-11:10:45,05/11/2019,10:45:00,15.84,7.1,9.01,91.13,crbuoy
2019-05-11:11:00,05/11/2019,11:00:00,15.89,7.1,9.04,91.52,crbuoy
2019-05-11:11:15,05/11/2019,11:15:00,15.9,7.13,9.08,91.97,crbuoy
2019-05-11:11:30,05/11/2019,11:30:00,15.83,7.09,8.99,90.93,crbuoy
2019-05-11:11:45,05/11/2019,11:45:00,15.75,7.07,8.95,90.36,crbuoy
2019-05-11:12:00,05/11/2019,12:00:00,15.85,7.08,8.89,89.87,crbuoy
2019-05-11:12:15,05/11/2019,12:15:00,15.98,7.12,8.97,90.96,crbuoy
2019-05-11:12:30,05/11/2019,12:30:00,16.05,7.11,8.99,91.27,crbuoy
2019-05-11:12:45,05/11/2019,12:45:00,15.78,7.06,8.94,90.32,crbuoy
2019-05-11:13:00,05/11/2019,13:00:00,15.9,7.1,8.97,90.85,crbuoy
2019-05-11:13:15,05/11/2019,13:15:00,15.99,7.12,8.95,90.83,crbuoy
2019-05-11:13:30,05/11/2019,13:30:00,16.22,7.13,9.11,92.89,crbuoy
2019-05-11:13:45,05/11/2019,13:45:00,16.65,7.23,9.34,96.06,crbuoy
2019-05-11:14:00,05/11/2019,14:00:00,16.31,7.1,9.21,94.08,crbuoy
2019-05-11:14:15,05/11/2019,14:15:00,16.58,7.18,9.38,96.36,crbuoy
2019-05-11:14:30,05/11/2019,14:30:00,16.69,7.22,9.43,97.11,crbuoy
2019-05-11:14:45,05/11/2019,14:45:00,16.67,7.16,9.47,97.45,crbuoy
2019-05-11:15:00,05/11/2019,15:00:00,16.73,7.17,9.41,96.94,crbuoy
2019-05-11:15:15,05/11/2019,15:15:00,16.69,7.16,9.38,96.62,crbuoy
2019-05-11:15:30,05/11/2019,15:30:00,16.66,7.15,9.39,96.67,crbuoy
2019-05-11:15:45,05/11/2019,15:45:00,16.69,7.16,9.53,98.08,crbuoy
